,atemp,casual,count,datetime,holiday,humidity,registered,season,temp,weather,windspeed,workingday,day,year,month,hour,dp_reg,dp_cas
25,11.365,0,0,2011-01-21 01:00:00,0,70,0,1,9.84,2,16.9979,1,4,2011,1,2,1,1
26,12.12,0,0,2011-01-21 02:00:00,0,75,0,1,9.84,3,11.0014,1,4,2011,1,3,1,1
27,10.605,0,0,2011-01-21 03:00:00,0,80,0,1,9.02,3,19.9995,1,4,2011,1,4,1,1
28,12.88,0,0,2011-01-21 04:00:00,0,87,0,1,9.02,2,6.0032,1,4,2011,1,5,1,1
29,9.85,0,0,2011-01-21 05:00:00,0,60,0,1,9.84,1,27.9993,1,4,2011,1,6,1,1
30,10.605,0,0,2011-01-21 06:00:00,0,55,0,1,9.02,1,16.9979,1,4,2011,1,7,1,1
31,9.09,0,0,2011-01-21 07:00:00,0,51,0,1,8.2,1,19.0012,1,4,2011,1,8,4,1
32,9.09,0,0,2011-01-21 08:00:00,0,47,0,1,8.2,1,22.0028,1,4,2011,1,9,5,2
33,9.09,0,0,2011-01-21 09:00:00,0,51,0,1,8.2,1,23.9994,1,4,2011,1,10,3,3
34,8.335,0,0,2011-01-21 10:00:00,0,47,0,1,8.2,1,31.0009,1,4,2011,1,11,3,3
35,9.09,0,0,2011-01-21 11:00:00,0,41,0,1,9.02,1,31.0009,1,4,2011,1,12,3,3
36,9.09,0,0,2011-01-21 12:00:00,0,27,0,1,9.02,1,39.0007,1,4,2011,1,13,3,3
37,7.575,0,0,2011-01-21 13:00:00,0,21,0,1,8.2,1,39.0007,1,4,2011,1,14,3,3
38,7.575,0,0,2011-01-21 14:00:00,0,25,0,1,8.2,1,35.0008,1,4,2011,1,15,3,3
39,6.06,0,0,2011-01-21 15:00:00,0,26,0,1,6.56,1,30.0026,1,4,2011,1,16,3,3
40,6.82,0,0,2011-01-21 16:00:00,0,26,0,1,6.56,1,23.9994,1,4,2011,1,17,3,3
41,6.06,0,0,2011-01-21 17:00:00,0,28,0,1,5.74,1,23.9994,1,4,2011,1,18,7,3
42,6.06,0,0,2011-01-21 18:00:00,0,30,0,1,4.92,1,16.9979,1,4,2011,1,19,7,3
43,5.305,0,0,2011-01-21 19:00:00,0,30,0,1,4.92,1,22.0028,1,4,2011,1,20,6,4
44,3.79,0,0,2011-01-21 20:00:00,0,33,0,1,4.1,1,27.9993,1,4,2011,1,21,6,4
45,3.79,0,0,2011-01-21 21:00:00,0,38,0,1,3.28,1,19.0012,1,4,2011,1,22,2,4
46,1.515,0,0,2011-01-21 22:00:00,0,41,0,1,2.46,1,26.0027,1,4,2011,1,23,2,4
47,2.275,0,0,2011-01-21 23:00:00,0,38,0,1,2.46,1,22.0028,1,4,2011,1,24,2,4
48,1.515,0,0,2011-01-22 00:00:00,0,45,0,1,1.64,1,16.9979,0,5,2011,1,1,1,1
49,0.0,0,0,2011-01-22 01:00:00,0,41,0,1,1.64,2,26.0027,0,5,2011,1,2,1,1
50,1.515,0,0,2011-01-22 02:00:00,0,41,0,1,1.64,2,16.9979,0,5,2011,1,3,1,1
51,1.515,0,0,2011-01-22 03:00:00,0,41,0,1,1.64,2,19.0012,0,5,2011,1,4,1,1
52,0.76,0,0,2011-01-22 04:00:00,0,48,0,1,0.82,2,19.9995,0,5,2011,1,5,1,1
53,1.515,0,0,2011-01-22 06:00:00,0,44,0,1,0.82,2,15.0013,0,5,2011,1,7,1,1
54,0.76,0,0,2011-01-22 07:00:00,0,44,0,1,0.82,1,19.0012,0,5,2011,1,8,4,1
55,0.0,0,0,2011-01-22 08:00:00,0,44,0,1,0.82,1,22.0028,0,5,2011,1,9,5,2
56,1.515,0,0,2011-01-22 09:00:00,0,41,0,1,1.64,1,16.9979,0,5,2011,1,10,3,3
57,3.03,0,0,2011-01-22 10:00:00,0,41,0,1,1.64,2,11.0014,0,5,2011,1,11,3,3
58,3.79,0,0,2011-01-22 11:00:00,0,38,0,1,2.46,2,8.9981,0,5,2011,1,12,3,3
59,5.305,0,0,2011-01-22 12:00:00,0,38,0,1,2.46,2,7.0015,0,5,2011,1,13,3,3
60,8.335,0,0,2011-01-22 13:00:00,0,35,0,1,3.28,1,0.0,0,5,2011,1,14,3,3
61,6.82,0,0,2011-01-22 14:00:00,0,33,0,1,4.1,1,7.0015,0,5,2011,1,15,3,3
62,7.575,0,0,2011-01-22 15:00:00,0,28,0,1,4.92,1,0.0,0,5,2011,1,16,3,3
63,6.82,0,0,2011-01-22 16:00:00,0,28,0,1,4.92,1,12.998,0,5,2011,1,17,3,3
64,9.85,0,0,2011-01-22 17:00:00,0,28,0,1,4.92,1,0.0,0,5,2011,1,18,7,3
65,4.545,0,0,2011-01-22 18:00:00,0,35,0,1,3.28,1,12.998,0,5,2011,1,19,7,3
66,5.305,0,0,2011-01-22 19:00:00,0,35,0,1,3.28,1,8.9981,0,5,2011,1,20,6,4
67,3.79,0,0,2011-01-22 20:00:00,0,45,0,1,2.46,1,11.0014,0,5,2011,1,21,6,4
68,5.305,0,0,2011-01-22 21:00:00,0,41,0,1,2.46,1,6.0032,0,5,2011,1,22,2,4
69,7.575,0,0,2011-01-22 22:00:00,0,49,0,1,2.46,1,0.0,0,5,2011,1,23,2,4
70,3.79,0,0,2011-01-22 23:00:00,0,57,0,1,1.64,1,7.0015,0,5,2011,1,24,2,4
71,3.79,0,0,2011-01-23 00:00:00,0,57,0,1,1.64,1,7.0015,0,6,2011,1,1,1,1
72,3.79,0,0,2011-01-23 01:00:00,0,57,0,1,1.64,1,7.0015,0,6,2011,1,2,1,1
73,3.03,0,0,2011-01-23 02:00:00,0,62,0,1,0.82,1,8.9981,0,6,2011,1,3,1,1
74,3.03,0,0,2011-01-23 03:00:00,0,62,0,1,0.82,1,8.9981,0,6,2011,1,4,1,1
75,3.79,0,0,2011-01-23 05:00:00,0,57,0,1,1.64,2,7.0015,0,6,2011,1,6,1,1
76,3.79,0,0,2011-01-23 06:00:00,0,57,0,1,1.64,2,7.0015,0,6,2011,1,7,1,1
77,5.305,0,0,2011-01-23 07:00:00,0,58,0,1,3.28,1,11.0014,0,6,2011,1,8,4,1
78,3.79,0,0,2011-01-23 08:00:00,0,62,0,1,2.46,1,11.0014,0,6,2011,1,9,5,2
79,3.79,0,0,2011-01-23 09:00:00,0,54,0,1,4.1,1,23.9994,0,6,2011,1,10,3,3
80,5.305,0,0,2011-01-23 10:00:00,0,46,0,1,5.74,1,26.0027,0,6,2011,1,11,3,3
81,6.82,0,0,2011-01-23 11:00:00,0,43,0,1,5.74,1,15.0013,0,6,2011,1,12,3,3
82,6.06,0,0,2011-01-23 12:00:00,0,37,0,1,6.56,1,31.0009,0,6,2011,1,13,3,3
83,5.305,0,0,2011-01-23 13:00:00,0,33,0,1,5.74,1,26.0027,0,6,2011,1,14,3,3
84,6.82,0,0,2011-01-23 14:00:00,0,28,0,1,6.56,1,23.9994,0,6,2011,1,15,3,3
85,6.82,0,0,2011-01-23 15:00:00,0,28,0,1,6.56,1,23.9994,0,6,2011,1,16,3,3
86,6.82,0,0,2011-01-23 16:00:00,0,26,0,1,6.56,1,22.0028,0,6,2011,1,17,3,3
87,5.305,0,0,2011-01-23 17:00:00,0,26,0,1,5.74,1,26.0027,0,6,2011,1,18,7,3
88,6.06,0,0,2011-01-23 18:00:00,0,30,0,1,4.92,1,16.9979,0,6,2011,1,19,7,3
89,6.06,0,0,2011-01-23 19:00:00,0,30,0,1,4.92,1,19.0012,0,6,2011,1,20,6,4
90,5.305,0,0,2011-01-23 20:00:00,0,36,0,1,4.1,1,16.9979,0,6,2011,1,21,6,4
91,5.305,0,0,2011-01-23 21:00:00,0,36,0,1,4.1,1,12.998,0,6,2011,1,22,2,4
92,4.545,0,0,2011-01-23 22:00:00,0,38,0,1,3.28,1,12.998,0,6,2011,1,23,2,4
93,3.03,0,0,2011-01-23 23:00:00,0,41,0,1,2.46,1,15.0013,0,6,2011,1,24,2,4
94,3.03,0,0,2011-01-24 00:00:00,0,41,0,1,2.46,1,12.998,1,0,2011,1,1,1,1
95,2.275,0,0,2011-01-24 01:00:00,0,45,0,1,1.64,1,12.998,1,0,2011,1,2,1,1
96,1.515,0,0,2011-01-24 03:00:00,0,45,0,1,1.64,1,16.9979,1,0,2011,1,4,1,1
97,3.03,0,0,2011-01-24 04:00:00,0,48,0,1,0.82,1,8.9981,1,0,2011,1,5,1,1
98,3.03,0,0,2011-01-24 05:00:00,0,48,0,1,0.82,1,8.9981,1,0,2011,1,6,1,1
99,3.79,0,0,2011-01-24 06:00:00,0,48,0,1,0.82,1,6.0032,1,0,2011,1,7,1,1
100,6.06,0,0,2011-01-24 07:00:00,0,48,0,1,0.82,1,0.0,1,0,2011,1,8,4,1
101,6.82,0,0,2011-01-24 08:00:00,0,49,0,1,1.64,1,0.0,1,0,2011,1,9,5,2
102,7.575,0,0,2011-01-24 09:00:00,0,41,0,1,2.46,1,0.0,1,0,2011,1,10,3,3
103,6.82,0,0,2011-01-24 10:00:00,0,42,0,1,4.1,1,0.0,1,0,2011,1,11,3,3
104,6.06,0,0,2011-01-24 11:00:00,0,46,0,1,4.1,1,8.9981,1,0,2011,1,12,3,3
105,6.82,0,0,2011-01-24 12:00:00,0,42,0,1,4.92,2,12.998,1,0,2011,1,13,3,3
106,6.82,0,0,2011-01-24 13:00:00,0,43,0,1,5.74,2,15.0013,1,0,2011,1,14,3,3
107,6.82,0,0,2011-01-24 14:00:00,0,46,0,1,5.74,2,15.0013,1,0,2011,1,15,3,3
108,8.335,0,0,2011-01-24 15:00:00,0,40,0,1,6.56,1,11.0014,1,0,2011,1,16,3,3
109,7.575,0,0,2011-01-24 16:00:00,0,47,0,1,6.56,1,16.9979,1,0,2011,1,17,3,3
110,6.06,0,0,2011-01-24 17:00:00,0,50,0,1,5.74,1,16.9979,1,0,2011,1,18,7,3
111,6.82,0,0,2011-01-24 18:00:00,0,59,0,1,5.74,1,12.998,1,0,2011,1,19,7,3
112,7.575,0,0,2011-01-24 19:00:00,0,54,0,1,5.74,1,11.0014,1,0,2011,1,20,6,4
113,6.82,0,0,2011-01-24 20:00:00,0,59,0,1,5.74,1,12.998,1,0,2011,1,21,6,4
114,7.575,0,0,2011-01-24 21:00:00,0,63,0,1,5.74,1,11.0014,1,0,2011,1,22,2,4
115,6.82,0,0,2011-01-24 22:00:00,0,63,0,1,5.74,2,15.0013,1,0,2011,1,23,2,4
116,7.575,0,0,2011-01-24 23:00:00,0,64,0,1,6.56,2,16.9979,1,0,2011,1,24,2,4
117,6.82,0,0,2011-01-25 00:00:00,0,69,0,1,6.56,2,19.0012,1,1,2011,1,1,1,1
118,8.335,0,0,2011-01-25 01:00:00,0,69,0,1,6.56,2,11.0014,1,1,2011,1,2,1,1
119,7.575,0,0,2011-01-25 02:00:00,0,69,0,1,6.56,1,15.0013,1,1,2011,1,3,1,1
120,8.335,0,0,2011-01-25 04:00:00,0,74,0,1,5.74,1,7.0015,1,1,2011,1,5,1,1
121,6.82,0,0,2011-01-25 05:00:00,0,74,0,1,5.74,1,15.0013,1,1,2011,1,6,1,1
122,9.09,0,0,2011-01-25 06:00:00,0,74,0,1,6.56,1,7.0015,1,1,2011,1,7,1,1
123,7.575,0,0,2011-01-25 07:00:00,0,74,0,1,6.56,1,15.0013,1,1,2011,1,8,4,1
124,9.09,0,0,2011-01-25 08:00:00,0,74,0,1,6.56,2,8.9981,1,1,2011,1,9,5,2
125,11.365,0,0,2011-01-25 09:00:00,0,64,0,1,8.2,2,6.0032,1,1,2011,1,10,3,3
126,12.12,0,0,2011-01-25 10:00:00,0,60,0,1,9.02,2,7.0015,1,1,2011,1,11,3,3
127,12.12,0,0,2011-01-25 11:00:00,0,60,0,1,9.84,2,8.9981,1,1,2011,1,12,3,3
128,14.395,0,0,2011-01-25 12:00:00,0,56,0,1,10.66,2,6.0032,1,1,2011,1,13,3,3
129,13.635,0,0,2011-01-25 13:00:00,0,56,0,1,10.66,2,8.9981,1,1,2011,1,14,3,3
130,16.665,0,0,2011-01-25 14:00:00,0,45,0,1,12.3,2,0.0,1,1,2011,1,15,3,3
131,17.425,0,0,2011-01-25 15:00:00,0,42,0,1,13.12,2,0.0,1,1,2011,1,16,3,3
132,17.425,0,0,2011-01-25 16:00:00,0,42,0,1,13.12,2,0.0,1,1,2011,1,17,3,3
133,16.665,0,0,2011-01-25 17:00:00,0,45,0,1,12.3,1,0.0,1,1,2011,1,18,7,3
134,15.91,0,0,2011-01-25 18:00:00,0,49,0,1,12.3,2,6.0032,1,1,2011,1,19,7,3
135,12.88,0,0,2011-01-25 19:00:00,0,65,0,1,10.66,2,11.0014,1,1,2011,1,20,6,4
136,11.365,0,0,2011-01-25 20:00:00,0,65,0,1,9.84,1,12.998,1,1,2011,1,21,6,4
137,11.365,0,0,2011-01-25 21:00:00,0,65,0,1,9.84,1,12.998,1,1,2011,1,22,2,4
138,11.365,0,0,2011-01-25 22:00:00,0,64,0,1,9.02,1,11.0014,1,1,2011,1,23,2,4
139,11.365,0,0,2011-01-25 23:00:00,0,64,0,1,9.02,2,11.0014,1,1,2011,1,24,2,4
140,11.365,0,0,2011-01-26 00:00:00,0,69,0,1,9.02,2,8.9981,1,2,2011,1,1,1,1
141,12.12,0,0,2011-01-26 01:00:00,0,65,0,1,9.84,2,8.9981,1,2,2011,1,2,1,1
142,11.365,0,0,2011-01-26 02:00:00,0,69,0,1,9.02,3,12.998,1,2,2011,1,3,1,1
143,9.09,0,0,2011-01-26 05:00:00,0,86,0,1,8.2,3,19.0012,1,2,2011,1,6,1,1
144,9.09,0,0,2011-01-26 06:00:00,0,86,0,1,8.2,3,19.0012,1,2,2011,1,7,1,1
145,10.605,0,0,2011-01-26 07:00:00,0,87,0,1,9.02,3,19.9995,1,2,2011,1,8,4,1
146,10.605,0,0,2011-01-26 08:00:00,0,87,0,1,9.02,3,19.9995,1,2,2011,1,9,5,2
147,10.605,0,0,2011-01-26 09:00:00,0,87,0,1,9.02,3,19.9995,1,2,2011,1,10,3,3
148,10.605,0,0,2011-01-26 10:00:00,0,93,0,1,9.02,3,19.0012,1,2,2011,1,11,3,3
149,9.85,0,0,2011-01-26 11:00:00,0,93,0,1,9.02,3,22.0028,1,2,2011,1,12,3,3
150,9.85,0,0,2011-01-26 12:00:00,0,93,0,1,9.02,3,22.0028,1,2,2011,1,13,3,3
151,9.85,0,0,2011-01-26 13:00:00,0,93,0,1,9.02,3,22.0028,1,2,2011,1,14,3,3
152,9.85,0,0,2011-01-26 14:00:00,0,93,0,1,9.02,3,23.9994,1,2,2011,1,15,3,3
153,9.09,0,0,2011-01-26 15:00:00,0,93,0,1,9.02,3,31.0009,1,2,2011,1,16,3,3
154,9.85,0,0,2011-01-26 16:00:00,0,93,0,1,9.02,4,22.0028,1,2,2011,1,17,3,3
155,9.09,0,0,2011-01-26 17:00:00,0,93,0,1,8.2,3,23.9994,1,2,2011,1,18,7,3
156,11.365,0,0,2011-01-27 16:00:00,0,55,0,1,9.02,1,12.998,1,3,2011,1,17,3,3
157,12.12,0,0,2011-01-27 17:00:00,0,55,0,1,9.02,1,7.0015,1,3,2011,1,18,7,3
158,11.365,0,0,2011-01-27 18:00:00,0,69,0,1,8.2,1,6.0032,1,3,2011,1,19,7,3
159,11.365,0,0,2011-01-27 19:00:00,0,69,0,1,8.2,1,6.0032,1,3,2011,1,20,6,4
160,10.605,0,0,2011-01-27 20:00:00,0,74,0,1,7.38,1,6.0032,1,3,2011,1,21,6,4
161,10.605,0,0,2011-01-27 21:00:00,0,74,0,1,7.38,1,6.0032,1,3,2011,1,22,2,4
162,10.605,0,0,2011-01-27 22:00:00,0,74,0,1,7.38,1,6.0032,1,3,2011,1,23,2,4
163,9.85,0,0,2011-01-27 23:00:00,0,80,0,1,7.38,1,11.0014,1,3,2011,1,24,2,4
164,10.605,0,0,2011-01-28 00:00:00,0,75,0,1,8.2,2,8.9981,1,4,2011,1,1,1,1
165,10.605,0,0,2011-01-28 01:00:00,0,75,0,1,8.2,2,8.9981,1,4,2011,1,2,1,1
166,10.605,0,0,2011-01-28 02:00:00,0,75,0,1,8.2,2,11.0014,1,4,2011,1,3,1,1
167,11.365,0,0,2011-01-28 03:00:00,0,75,0,1,8.2,2,7.0015,1,4,2011,1,4,1,1
168,10.605,0,0,2011-01-28 05:00:00,0,80,0,1,7.38,2,7.0015,1,4,2011,1,6,1,1
169,9.85,0,0,2011-01-28 06:00:00,0,80,0,1,7.38,2,8.9981,1,4,2011,1,7,1,1
170,9.85,0,0,2011-01-28 07:00:00,0,86,0,1,6.56,2,6.0032,1,4,2011,1,8,4,1
171,9.85,0,0,2011-01-28 08:00:00,0,86,0,1,6.56,2,6.0032,1,4,2011,1,9,5,2
172,10.605,0,0,2011-01-28 09:00:00,0,86,0,1,7.38,3,6.0032,1,4,2011,1,10,3,3
173,10.605,0,0,2011-01-28 10:00:00,0,86,0,1,7.38,3,7.0015,1,4,2011,1,11,3,3
174,10.605,0,0,2011-01-28 11:00:00,0,93,0,1,7.38,3,7.0015,1,4,2011,1,12,3,3
175,10.605,0,0,2011-01-28 12:00:00,0,93,0,1,7.38,3,7.0015,1,4,2011,1,13,3,3
176,10.605,0,0,2011-01-28 13:00:00,0,93,0,1,7.38,3,7.0015,1,4,2011,1,14,3,3
177,13.635,0,0,2011-01-28 14:00:00,0,80,0,1,9.02,3,0.0,1,4,2011,1,15,3,3
178,12.88,0,0,2011-01-28 15:00:00,0,86,0,1,8.2,2,0.0,1,4,2011,1,16,3,3
179,13.635,0,0,2011-01-28 16:00:00,0,80,0,1,9.02,1,0.0,1,4,2011,1,17,3,3
180,12.12,0,0,2011-01-28 17:00:00,0,75,0,1,9.84,1,8.9981,1,4,2011,1,18,7,3
181,11.365,0,0,2011-01-28 18:00:00,0,75,0,1,9.84,1,12.998,1,4,2011,1,19,7,3
182,12.12,0,0,2011-01-28 19:00:00,0,75,0,1,9.84,2,8.9981,1,4,2011,1,20,6,4
183,11.365,0,0,2011-01-28 20:00:00,0,70,0,1,9.84,2,12.998,1,4,2011,1,21,6,4
184,11.365,0,0,2011-01-28 21:00:00,0,75,0,1,9.02,2,8.9981,1,4,2011,1,22,2,4
185,10.605,0,0,2011-01-28 22:00:00,0,65,0,1,9.84,1,23.9994,1,4,2011,1,23,2,4
186,11.365,0,0,2011-01-28 23:00:00,0,60,0,1,9.84,1,15.0013,1,4,2011,1,24,2,4
187,9.85,0,0,2011-01-29 00:00:00,0,64,0,1,9.02,1,23.9994,0,5,2011,1,1,1,1
188,11.365,0,0,2011-01-29 01:00:00,0,64,0,1,9.02,1,12.998,0,5,2011,1,2,1,1
189,11.365,0,0,2011-01-29 02:00:00,0,64,0,1,9.02,1,11.0014,0,5,2011,1,3,1,1
190,10.605,0,0,2011-01-29 03:00:00,0,64,0,1,8.2,1,8.9981,0,5,2011,1,4,1,1
191,9.09,0,0,2011-01-29 04:00:00,0,69,0,1,6.56,1,7.0015,0,5,2011,1,5,1,1
192,9.09,0,0,2011-01-29 06:00:00,0,64,0,1,6.56,1,8.9981,0,5,2011,1,7,1,1
193,9.09,0,0,2011-01-29 07:00:00,0,59,0,1,6.56,1,7.0015,0,5,2011,1,8,4,1
194,9.85,0,0,2011-01-29 08:00:00,0,55,0,1,7.38,1,11.0014,0,5,2011,1,9,5,2
195,10.605,0,0,2011-01-29 09:00:00,0,59,0,1,7.38,1,6.0032,0,5,2011,1,10,3,3
196,10.605,0,0,2011-01-29 10:00:00,0,64,0,1,7.38,2,7.0015,0,5,2011,1,11,3,3
197,9.85,0,0,2011-01-29 11:00:00,0,64,0,1,7.38,2,8.9981,0,5,2011,1,12,3,3
198,9.85,0,0,2011-01-29 12:00:00,0,59,0,1,8.2,2,12.998,0,5,2011,1,13,3,3
199,11.365,0,0,2011-01-29 13:00:00,0,55,0,1,9.02,2,11.0014,0,5,2011,1,14,3,3
200,11.365,0,0,2011-01-29 14:00:00,0,60,0,1,9.02,2,8.9981,0,5,2011,1,15,3,3
201,10.605,0,0,2011-01-29 15:00:00,0,69,0,1,9.02,1,16.9979,0,5,2011,1,16,3,3
202,12.12,0,0,2011-01-29 16:00:00,0,60,0,1,9.84,1,11.0014,0,5,2011,1,17,3,3
203,14.395,0,0,2011-01-29 17:00:00,0,60,0,1,9.84,1,0.0,0,5,2011,1,18,7,3
204,11.365,0,0,2011-01-29 18:00:00,0,69,0,1,9.02,1,8.9981,0,5,2011,1,19,7,3
205,10.605,0,0,2011-01-29 19:00:00,0,69,0,1,9.02,2,16.9979,0,5,2011,1,20,6,4
206,10.605,0,0,2011-01-29 20:00:00,0,74,0,1,7.38,1,6.0032,0,5,2011,1,21,6,4
207,10.605,0,0,2011-01-29 21:00:00,0,74,0,1,7.38,1,6.0032,0,5,2011,1,22,2,4
208,9.85,0,0,2011-01-29 22:00:00,0,80,0,1,6.56,1,6.0032,0,5,2011,1,23,2,4
209,9.85,0,0,2011-01-29 23:00:00,0,80,0,1,6.56,1,6.0032,0,5,2011,1,24,2,4
210,9.09,0,0,2011-01-30 00:00:00,0,80,0,1,6.56,1,7.0015,0,6,2011,1,1,1,1
211,10.605,0,0,2011-01-30 01:00:00,0,80,0,1,5.74,1,0.0,0,6,2011,1,2,1,1
212,11.365,0,0,2011-01-30 02:00:00,0,80,0,1,6.56,1,0.0,0,6,2011,1,3,1,1
213,10.605,0,0,2011-01-30 03:00:00,0,93,0,1,5.74,1,0.0,0,6,2011,1,4,1,1
214,10.605,0,0,2011-01-30 04:00:00,0,93,0,1,5.74,1,0.0,0,6,2011,1,5,1,1
215,10.605,0,0,2011-01-30 05:00:00,0,86,0,1,5.74,1,0.0,0,6,2011,1,6,1,1
216,10.605,0,0,2011-01-30 07:00:00,0,86,0,1,5.74,1,0.0,0,6,2011,1,8,4,1
217,10.605,0,0,2011-01-30 08:00:00,0,86,0,1,5.74,2,0.0,0,6,2011,1,9,5,2
218,11.365,0,0,2011-01-30 09:00:00,0,80,0,1,6.56,2,0.0,0,6,2011,1,10,3,3
219,12.12,0,0,2011-01-30 10:00:00,0,80,0,1,7.38,2,0.0,0,6,2011,1,11,3,3
220,13.635,0,0,2011-01-30 11:00:00,0,75,0,1,9.02,1,0.0,0,6,2011,1,12,3,3
221,15.91,0,0,2011-01-30 12:00:00,0,52,0,1,12.3,1,7.0015,0,6,2011,1,13,3,3
222,14.395,0,0,2011-01-30 13:00:00,0,61,0,1,11.48,1,7.0015,0,6,2011,1,14,3,3
223,15.15,0,0,2011-01-30 14:00:00,0,61,0,1,11.48,1,6.0032,0,6,2011,1,15,3,3
224,16.665,0,0,2011-01-30 15:00:00,0,56,0,1,12.3,1,0.0,0,6,2011,1,16,3,3
225,16.665,0,0,2011-01-30 16:00:00,0,56,0,1,12.3,1,0.0,0,6,2011,1,17,3,3
226,14.395,0,0,2011-01-30 17:00:00,0,56,0,1,12.3,1,12.998,0,6,2011,1,18,7,3
227,12.88,0,0,2011-01-30 18:00:00,0,65,0,1,10.66,1,11.0014,0,6,2011,1,19,7,3
228,12.88,0,0,2011-01-30 19:00:00,0,65,0,1,10.66,1,12.998,0,6,2011,1,20,6,4
229,13.635,0,0,2011-01-30 20:00:00,0,65,0,1,10.66,2,7.0015,0,6,2011,1,21,6,4
230,12.12,0,0,2011-01-30 21:00:00,0,70,0,1,9.84,2,11.0014,0,6,2011,1,22,2,4
231,11.365,0,0,2011-01-30 22:00:00,0,70,0,1,9.84,2,12.998,0,6,2011,1,23,2,4
232,10.605,0,0,2011-01-30 23:00:00,0,65,0,1,9.84,2,19.0012,0,6,2011,1,24,2,4
233,11.365,0,0,2011-01-31 00:00:00,0,65,0,1,9.84,2,15.0013,1,0,2011,1,1,1,1
234,10.605,0,0,2011-01-31 01:00:00,0,64,0,1,9.02,1,16.9979,1,0,2011,1,2,1,1
235,11.365,0,0,2011-01-31 02:00:00,0,64,0,1,9.02,1,12.998,1,0,2011,1,3,1,1
236,11.365,0,0,2011-01-31 03:00:00,0,64,0,1,9.02,1,12.998,1,0,2011,1,4,1,1
237,9.85,0,0,2011-01-31 04:00:00,0,59,0,1,8.2,1,15.0013,1,0,2011,1,5,1,1
238,8.335,0,0,2011-01-31 05:00:00,0,64,0,1,7.38,1,19.0012,1,0,2011,1,6,1,1
239,6.82,0,0,2011-01-31 06:00:00,0,69,0,1,6.56,1,22.0028,1,0,2011,1,7,1,1
240,6.82,0,0,2011-01-31 07:00:00,0,64,0,1,6.56,2,19.0012,1,0,2011,1,8,4,1
241,6.82,0,0,2011-01-31 08:00:00,0,59,0,1,6.56,2,19.0012,1,0,2011,1,9,5,2
242,6.82,0,0,2011-01-31 09:00:00,0,59,0,1,6.56,2,19.9995,1,0,2011,1,10,3,3
243,7.575,0,0,2011-01-31 10:00:00,0,59,0,1,6.56,2,12.998,1,0,2011,1,11,3,3
